+----------+----------+------------+----------+
| 所属部署 | 氏名     | 日付       | 勤務時間 |
+----------+----------+------------+----------+
| 人事部   | 大門一郎 | 2012-12-01 |        8 |
| 人事部   | 大門一郎 | 2012-12-02 |       10 |
| 人事部   | 大門一郎 | 2012-12-05 |        8 |
| 人事部   | 大門一郎 | 2012-12-06 |        9 |
| 人事部   | 大門一郎 | 2012-12-07 |        8 |
| 人事部   | 大門一郎 | 2012-12-08 |        8 |
| 人事部   | 大門一郎 | 2012-12-09 |        9 |
| 人事部   | 大門一郎 | 2012-12-12 |        8 |
| 人事部   | 大門一郎 | 2012-12-13 |       10 |
| 人事部   | 大門一郎 | 2012-12-14 |        9 |
| 人事部   | 大門一郎 | 2012-12-15 |        8 |
| 人事部   | 大門一郎 | 2012-12-16 |        8 |
| 人事部   | 大門一郎 | 2012-12-19 |        8 |
| 人事部   | 大門一郎 | 2012-12-20 |        8 |
| 人事部   | 大門一郎 | 2012-12-21 |        9 |
| 人事部   | 大門一郎 | 2012-12-22 |        8 |
| 人事部   | 大門一郎 | 2012-12-23 |       10 |
| 人事部   | 大門一郎 | 2012-12-26 |        8 |
| 人事部   | 大門一郎 | 2012-12-27 |        8 |
| 人事部   | 大門一郎 | 2012-12-28 |        8 |
+----------+----------+------------+----------+
